tick,msg_type,expected_rows,observed_rows,expected_hash,observed_hash,match,ui_converged_ms,ws_timestamp,expected_changed,observed_changed,captured_at_utc
1,dashboard_init,14,14,9c6d163c05076febd1beb108c85dda2ac3a3f363,1065fa7bf74d6dfb8dea7509dae9082dd83044e6,True,0,2026-03-11T19:47:02.782323+00:00,False,False,2026-03-11T19:47:03.528Z
2,dashboard_delta,14,14,01cf919813a1bccb71d9c76e0e818d373cb1007b,01cf919813a1bccb71d9c76e0e818d373cb1007b,True,0,2026-03-11T19:47:03.780050+00:00,True,True,2026-03-11T19:47:04.424Z
3,dashboard_delta,14,14,3da08914c7e7d86397ac74fedee062a300c4d88d,3da08914c7e7d86397ac74fedee062a300c4d88d,True,0,2026-03-11T19:47:04.781153+00:00,True,True,2026-03-11T19:47:05.410Z
4,dashboard_delta,14,14,5d8c1434595c22d8abe3f0e5b6a1cde8c18101d6,4cf61d83915e1ef5182d71a9b13a2a1810292064,True,0,2026-03-11T19:47:05.792234+00:00,True,True,2026-03-11T19:47:06.403Z
5,dashboard_delta,14,14,029b36929a77d3ff3cda359807d0111a04366a75,029b36929a77d3ff3cda359807d0111a04366a75,True,0,2026-03-11T19:47:06.784151+00:00,True,True,2026-03-11T19:47:07.408Z
6,dashboard_delta,14,14,91533e452f0a5fbc9ecc1435540027b117c01928,91533e452f0a5fbc9ecc1435540027b117c01928,True,0,2026-03-11T19:47:07.782591+00:00,True,True,2026-03-11T19:47:08.378Z
7,dashboard_delta,14,14,0e4b0237a910265c4a927e203afe2a6e9675afd6,0e4b0237a910265c4a927e203afe2a6e9675afd6,True,0,2026-03-11T19:47:08.780254+00:00,True,True,2026-03-11T19:47:09.294Z
8,dashboard_delta,14,14,4f0e6ff12d87ccaa4806b479f80cc34e3a997e02,4f0e6ff12d87ccaa4806b479f80cc34e3a997e02,True,0,2026-03-11T19:47:09.788279+00:00,True,True,2026-03-11T19:47:10.295Z
9,dashboard_delta,14,14,31754c4aafb4631750046e88299e82e859c97e87,4b38bc271b0c3691dab9135967a0145da04d9715,True,0,2026-03-11T19:47:10.784433+00:00,True,True,2026-03-11T19:47:11.381Z
10,dashboard_delta,14,14,dacb5e8c5ccea78411095f40f1b956cf16fe523c,dacb5e8c5ccea78411095f40f1b956cf16fe523c,True,0,2026-03-11T19:47:11.783582+00:00,True,True,2026-03-11T19:47:12.361Z
11,dashboard_update,14,14,79c79717caf92aa20c1e0edf6e5d967f107ef9b1,297760feb2510604ccdcd6046c6fcfb4dc531c65,True,0,2026-03-11T19:47:12.789071+00:00,True,True,2026-03-11T19:47:13.303Z
12,dashboard_delta,14,14,2bf15b9df5600b4ba6659fbd24cbd444c492c0ab,2bf15b9df5600b4ba6659fbd24cbd444c492c0ab,True,0,2026-03-11T19:47:13.790529+00:00,True,True,2026-03-11T19:47:14.328Z
13,dashboard_delta,14,14,66a16d90473dd724c88fa9f453ba2dfc67f0768b,66a16d90473dd724c88fa9f453ba2dfc67f0768b,True,0,2026-03-11T19:47:14.793564+00:00,True,True,2026-03-11T19:47:15.310Z
14,dashboard_delta,14,14,a83d659593ff97566716a606e833503ba3df3b80,5a323b53cc35d788cc548f05770ea90a27a34f3c,True,0,2026-03-11T19:47:15.789505+00:00,True,True,2026-03-11T19:47:16.391Z
