tick,msg_type,raw_net_gex,expected_ui_text,observed_ui_text,observed_ui_class,match,ui_converged_ms,ws_timestamp,captured_at_utc
1,dashboard_init,-596487.8,-596.49B,-596.49B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:04.751613+00:00,2026-03-11T19:36:05.351Z
2,dashboard_delta,-596553.456744849,-596.55B,-596.55B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:05.760186+00:00,2026-03-11T19:36:06.412Z
3,dashboard_delta,-596619.1400370345,-596.62B,-596.62B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:06.751214+00:00,2026-03-11T19:36:07.309Z
4,dashboard_delta,-596685.5006231442,-596.69B,-596.69B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:07.757613+00:00,2026-03-11T19:36:08.281Z
5,dashboard_update,-590039.68,-590.04B,-590.04B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:09.755976+00:00,2026-03-11T19:36:10.236Z
6,dashboard_delta,-590112.5187469538,-590.11B,-590.11B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:10.755346+00:00,2026-03-11T19:36:11.248Z
7,dashboard_delta,-590185.6690936526,-590.19B,-590.19B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:11.758190+00:00,2026-03-11T19:36:12.261Z
8,dashboard_delta,-590258.5474209408,-590.26B,-590.26B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:12.754735+00:00,2026-03-11T19:36:13.271Z
9,dashboard_delta,-590331.9880743474,-590.33B,-590.33B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:13.751746+00:00,2026-03-11T19:36:14.363Z
10,dashboard_delta,-590404.9112163592,-590.40B,-590.40B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:14.754233+00:00,2026-03-11T19:36:15.222Z
11,dashboard_delta,-590478.520259703,-590.48B,-590.48B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:15.759349+00:00,2026-03-11T19:36:16.268Z
12,dashboard_delta,-590552.0558211103,-590.55B,-590.55B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:16.760992+00:00,2026-03-11T19:36:17.297Z
13,dashboard_delta,-590625.2660892473,-590.63B,-590.63B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:17.752330+00:00,2026-03-11T19:36:18.282Z
14,dashboard_delta,-590698.6338937978,-590.70B,-590.70B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:18.755418+00:00,2026-03-11T19:36:19.226Z
15,dashboard_delta,-590772.4592945599,-590.77B,-590.77B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:19.755285+00:00,2026-03-11T19:36:20.318Z
16,dashboard_delta,-590846.7373075375,-590.85B,-590.85B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:20.763224+00:00,2026-03-11T19:36:21.258Z
17,dashboard_delta,-590749.9931622067,-590.75B,-590.75B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:21.757677+00:00,2026-03-11T19:36:22.220Z
18,dashboard_delta,-590823.9740298856,-590.82B,-590.82B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:22.754640+00:00,2026-03-11T19:36:23.230Z
19,dashboard_delta,-590898.9724202049,-590.90B,-590.90B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:23.763023+00:00,2026-03-11T19:36:24.350Z
20,dashboard_delta,-590972.7396780034,-590.97B,-590.97B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:24.757997+00:00,2026-03-11T19:36:25.342Z
21,dashboard_delta,-591047.0773129958,-591.05B,-591.05B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:25.757062+00:00,2026-03-11T19:36:26.405Z
22,dashboard_delta,-601492.7171689066,-601.49B,-601.49B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:26.762352+00:00,2026-03-11T19:36:27.248Z
23,dashboard_delta,-601574.6861522053,-601.57B,-601.57B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:27.750001+00:00,2026-03-11T19:36:28.220Z
24,dashboard_delta,-601656.9420799995,-601.66B,-601.66B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:28.748944+00:00,2026-03-11T19:36:29.306Z
25,dashboard_delta,-601903.2438038065,-601.90B,-601.90B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:30.748818+00:00,2026-03-11T19:36:31.237Z
26,dashboard_delta,-601986.4534716515,-601.99B,-601.99B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:31.753781+00:00,2026-03-11T19:36:32.307Z
27,dashboard_delta,-602069.3248520754,-602.07B,-602.07B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:32.750422+00:00,2026-03-11T19:36:33.219Z
28,dashboard_delta,-602153.4125836323,-602.15B,-602.15B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:33.760039+00:00,2026-03-11T19:36:34.322Z
29,dashboard_delta,-602235.737184644,-602.24B,-602.24B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:34.758320+00:00,2026-03-11T19:36:35.245Z
30,dashboard_delta,-602319.1400596285,-602.32B,-602.32B,font-mono text-[13px] font-black tracking-tight text-[#10b981],True,0,2026-03-11T19:36:35.752982+00:00,2026-03-11T19:36:36.282Z
